"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2024","EQ","1,052.85","1,058.40","1,044.10","1,052.85","1,046.50","1,047.20","1,050.27","1,151.85","826.05","1,02,35,318","10,74,98,62,842.10","2,20,763"
"27-Mar-2024","EQ","1,045.80","1,057.55","1,044.25","1,040.55","1,052.00","1,052.85","1,050.31","1,151.85","826.05","1,70,27,308","17,88,40,10,983.45","2,87,048"
"26-Mar-2024","EQ","1,029.00","1,044.20","1,027.50","1,033.30","1,043.00","1,040.55","1,037.47","1,151.85","826.05","96,56,767","10,01,86,41,510.95","2,51,863"
"22-Mar-2024","EQ","1,040.10","1,047.25","1,029.95","1,035.60","1,031.00","1,033.30","1,038.24","1,151.85","825.55","98,91,194","10,26,94,36,021.05","2,36,409"
"21-Mar-2024","EQ","1,039.35","1,050.55","1,028.15","1,034.75","1,041.85","1,035.60","1,037.64","1,151.85","825.55","99,03,738","10,27,65,20,680.40","2,23,205"
"20-Mar-2024","EQ","1,050.00","1,057.45","1,030.95","1,050.80","1,038.25","1,034.75","1,043.11","1,151.85","825.55","1,26,19,644","13,16,36,64,760.15","3,39,938"
"19-Mar-2024","EQ","1,055.55","1,060.95","1,046.70","1,061.35","1,050.35","1,050.80","1,051.92","1,151.85","825.55","67,28,886","7,07,82,77,172.50","2,36,410"
"18-Mar-2024","EQ","1,044.00","1,066.90","1,043.60","1,046.40","1,064.75","1,061.35","1,056.44","1,151.85","825.55","76,12,407","8,04,20,37,127.25","2,73,150"
"15-Mar-2024","EQ","1,056.25","1,056.25","1,030.25","1,058.25","1,048.00","1,046.40","1,044.51","1,151.85","814.30","1,77,98,175","18,59,04,58,547.25","2,61,474"
"14-Mar-2024","EQ","1,075.00","1,081.25","1,055.60","1,080.40","1,061.10","1,058.25","1,068.08","1,151.85","814.30","1,02,53,613","10,95,16,73,978.40","1,93,181"
"13-Mar-2024","EQ","1,096.00","1,099.55","1,070.75","1,097.00","1,078.50","1,080.40","1,079.81","1,151.85","814.30","1,15,03,890","12,42,20,69,636.50","2,26,985"
"12-Mar-2024","EQ","1,105.00","1,121.40","1,084.25","1,105.10","1,094.45","1,097.00","1,101.89","1,151.85","814.30","98,17,138","10,81,74,33,853.80","2,28,070"
"11-Mar-2024","EQ","1,112.25","1,120.00","1,101.90","1,111.45","1,102.85","1,105.10","1,108.47","1,151.85","814.30","67,51,641","7,48,39,63,018.80","1,97,149"
"07-Mar-2024","EQ","1,126.00","1,126.90","1,107.55","1,125.00","1,111.00","1,111.45","1,115.58","1,151.85","814.30","69,43,879","7,74,64,42,476.65","2,01,584"
"06-Mar-2024","EQ","1,100.20","1,131.95","1,095.35","1,100.80","1,124.00","1,125.00","1,122.91","1,151.85","814.30","1,37,87,638","15,48,22,85,780.55","3,20,060"
"05-Mar-2024","EQ","1,102.20","1,110.90","1,094.50","1,106.75","1,101.90","1,100.80","1,101.53","1,151.85","814.30","48,51,446","5,34,40,20,979.70","1,58,323"
"04-Mar-2024","EQ","1,099.25","1,108.90","1,093.10","1,096.70","1,105.25","1,106.75","1,102.35","1,151.85","814.30","58,95,441","6,49,88,38,358.25","1,41,187"
"02-Mar-2024","EQ","1,099.30","1,104.90","1,091.15","1,099.25","1,095.25","1,096.70","1,097.07","1,151.85","814.30","2,50,465","27,47,78,449.10","8,031"
"01-Mar-2024","EQ","1,076.00","1,101.70","1,076.00","1,075.10","1,098.40","1,099.25","1,092.58","1,151.85","814.30","48,19,390","5,26,55,79,136.05","1,71,646"
"29-Feb-2024","EQ","1,071.00","1,082.30","1,055.35","1,074.20","1,073.65","1,075.10","1,069.97","1,151.85","814.30","1,36,48,997","14,60,40,48,710.15","2,31,689"
"28-Feb-2024","EQ","1,077.40","1,085.00","1,064.05","1,079.05","1,071.55","1,074.20","1,073.16","1,151.85","814.30","76,43,191","8,20,23,42,629.45","1,36,752"
"27-Feb-2024","EQ","1,081.65","1,088.55","1,072.05","1,085.20","1,080.40","1,079.05","1,079.98","1,151.85","814.30","65,46,815","7,07,04,46,833.65","2,29,780"
"26-Feb-2024","EQ","1,093.45","1,094.80","1,079.65","1,096.80","1,084.00","1,085.20","1,085.80","1,151.85","814.30","53,54,189","5,81,35,91,284.15","2,04,678"
"23-Feb-2024","EQ","1,099.00","1,107.40","1,090.00","1,100.90","1,093.75","1,096.80","1,099.43","1,151.85","814.30","62,50,943","6,87,24,67,279.45","1,80,522"
"22-Feb-2024","EQ","1,090.30","1,110.70","1,081.50","1,084.20","1,098.75","1,100.90","1,098.70","1,151.85","814.30","1,46,33,340","16,07,76,95,725.30","2,68,227"
"21-Feb-2024","EQ","1,093.85","1,093.95","1,073.10","1,088.60","1,079.55","1,084.20","1,081.74","1,151.85","814.30","91,77,213","9,92,73,35,651.25","1,99,283"
"20-Feb-2024","EQ","1,059.00","1,090.50","1,057.70","1,062.95","1,087.10","1,088.60","1,078.99","1,151.85","814.30","87,22,800","9,41,18,38,973.65","2,43,044"
